Last Name,First and Middle,Area,Role,Years Served,,,,,,,,,,,,,,
Dzialynski,Morris A.,Duval ,Mayor: Jacksonville,1881-1883,,,,,,,,,,,,,,
Dancy,William McLaw,Duval ,Mayor: Jacksonville,1883-1885,,,,,,,,,,,,,,
Rice,Marshall C.,Duval ,Mayor: Jacksonville,1885-1886,,,,,,,,,,,,,,
McQuaid,Patrick,Duval ,Mayor: Jacksonville,1886-1887,,,,,,,,,,,,,,
Burbridge,John Quincy,Duval ,Mayor: Jacksonville,1887-1887,,,,,,,,,,,,,,
Smith,Charles Bristol,Duval ,Mayor: Jacksonville,1887-1888,,,,,,,,,,,,,,
McQuaid,Patrick,Duval ,Mayor: Jacksonville,1888-1891,,,,,,,,,,,,,,
Robinson,Henry,Duval ,Mayor: Jacksonville,1891-1893,,,,,,,,,,,,,,
Fletcher,Duncan Upshaw,Duval,Mayor: Jacksonville,1893-1895,,,,,,,,,,,,,,
Bostwick,William M.,Duval ,Mayor: Jacksonville,1895-1897,,,,,,,,,,,,,,
Knight,Raymond D.,Duval ,Mayor: Jacksonville,1897-1899,,,,,,,,,,,,,,
Bowden,J. E. T.,Duval ,Mayor: Jacksonville,1899-1901,,,,,,,,,,,,,,
Fletcher,Duncan Upshaw,Duval,Mayor: Jacksonville,1901-1903,,,,,,,,,,,,,,
Nolan,George M.,Duval ,Mayor: Jacksonville,1903-1906,,,,,,,,,,,,,,
Baker,William H.,Duval ,Mayor: Jacksonville,1906-1907,,,,,,,,,,,,,,
Sebring,William H.,Duval ,Mayor: Jacksonville,1907-1909,,,,,,,,,,,,,,
Jordan,William S.,Duval ,Mayor: Jacksonville,1909-1913,,,,,,,,,,,,,,
Swearingen,Van C.,Duval ,Mayor: Jacksonville,1913-1915,,,,,,,,,,,,,,
Bowden,J. E. T.,Duval ,Mayor: Jacksonville,1915-1917,,,,,,,,,,,,,,
Evans,Charles,Escambia,Mayor: Pensacola,1842-1847,,,,,,,,,,,,,,
de la Rua,Francis,Escambia,Mayor: Pensacola,1847-1848,,,,,,,,,,,,,,
Sierra,Joesph,Escambia,Mayor: Pensacola,1848-1852,,,,,,,,,,,,,,
Bobe,Francis B.,Escambia,Mayor: Pensacola,1852-1855,,,,,,,,,,,,,,
Gonzalez,C.,Escambia,Mayor: Pensacola,1855-1859,,,,,,,,,,,,,,
Gingles,C. H.,Escambia,Mayor: Pensacola,1859-1861,,,,,,,,,,,,,,
Bobe,Francis B.,Escambia,Mayor: Pensacola,1862-1866,,,,,,,,,,,,,,
Leonard,Samuel,Escambia,Mayor: Pensacola,1866-1867,,,,,,,,,,,,,,
Anderson,E. W.,Escambia,Mayor: Pensacola,1867-1868,,,,,,,,,,,,,,
Cobb,S. C.,Escambia,Mayor: Pensacola,1868-1870,,,,,,,,,,,,,,
Humphrey,F. C.,Escambia,Mayor: Pensacola,1870-1873,,,,,,,,,,,,,,
Putnam ,Royal,Escambia,Mayor: Pensacola,1873-1874,,,,,,,,,,,,,,
Steams,R. A.,Escambia,Mayor: Pensacola,1874-1875,,,,,,,,,,,,,,
Jones,J. P.,Escambia,Mayor: Pensacola,1875-1877,,,,,,,,,,,,,,
Stearns,R. A.,Escambia,Mayor: Pensacola,1877-1878,,,,,,,,,,,,,,
Pons,Salvador,Escambia,Mayor: Pensacola,1878-1879,,,,,,,,,,,,,,
Oerting,William M.,Escambia,Mayor: Pensacola,1879-1881,,,,,,,,,,,,,,
O'Neal,George H.,Escambia,Mayor: Pensacola,1881-1882,,,,,,,,,,,,,,
Tarble,J. M.,Escambia,Mayor: Pensacola,1882-1883,,,,,,,,,,,,,,
Welles,George H.,Escambia,Mayor: Pensacola,1883-1885,,,,,,,,,,,,,,
Harvey,S. S.,Escambia,Mayor: Pensacola,1885-1886,,,,,,,,,,,,,,
Avery,A. L.,Escambia,Mayor: Pensacola,1886-1887,,,,,,,,,,,,,,
Chipley,W. D.,Escambia,Mayor: Pensacola,1887-1888,,,,,,,,,,,,,,
Avery,A. L.,Escambia,Mayor: Pensacola,1888-1890,,,,,,,,,,,,,,
Hilliard,J. M.,Escambia,Mayor: Pensacola,1890-1893,,,,,,,,,,,,,,
Anderson,W. E. ,Escambia,Mayor: Pensacola,1893-1895,,,,,,,,,,,,,,
McHugh,Pat,Escambia,Mayor: Pensacola,1895-1895,,,,,,,,,,,,,,
Anderson,W. E.,Escambia,Mayor: Pensacola,1895-1897,,,,,,,,,,,,,,
Northrup,W. H. ,Escambia,Mayor: Pensacola,1897-1899,,,,,,,,,,,,,,
Hilliard,J. M.,Escambia,Mayor: Pensacola,1899-1901,,,,,,,,,,,,,,
Jones,C. M.,Escambia,Mayor: Pensacola,1901-1903,,,,,,,,,,,,,,
Welles,T. E.,Escambia,Mayor: Pensacola,1903-1905,,,,,,,,,,,,,,
Bliss,Charles H.,Escambia,Mayor: Pensacola,1905-1907,,,,,,,,,,,,,,
Goodman,C. C.,Escambia,Mayor: Pensacola,1907-1909,,,,,,,,,,,,,,
Reilly,Frank,Escambia,Mayor: Pensacola,1909-1913,,,,,,,,,,,,,,
Greenhut,A.,Escambia,Mayor: Pensacola,1913-1916,,,,,,,,,,,,,,
Finley,Samuel Y.,Alachua,Mayor: Gainseville,1869-N/A,,,,,,,,,,,,,,
Walls,Josiah T.,Alachua,Mayor: Gainseville,N/A-1873,,,,,,,,,,,,,,
Porter,Watson,Alachua,Mayor: Gainseville ,1873-N/A,,,,,,,,,,,,,,
William,Reuben Thomas,Alachua,Mayor: Gainseville ,1901-1907,,,,,,,,,,,,,,
Davis,Horatio,Alachua,Mayor: Gainseville ,1908-1909,,,,,,,,,,,,,,
Matheson,Chris,Alachua,Mayor: Gainseville ,1910-1917,,,,,,,,,,,,,,
Berthelot,James A.,Leon,Mayor: Talahassee,1845-1846,,,,,,,,,,,,,,
Towle,Simon,Leon,Mayor: Talahassee,1846-1847,,,,,,,,,,,,,,
Kirksey,James A.,Leon,Mayor: Talahassee,1846-1847,,,,,,,,,,,,,,
Flagg,F. H.,Leon,Mayor: Talahassee,1847-1848,,,,,,,,,,,,,,
Perkins,Thomas J.,Leon,Mayor: Talahassee,1848-1849,,,,,,,,,,,,,,
Hogue,David P.,Leon,Mayor: Talahassee,1850-1851,,,,,,,,,,,,,,
Walker,David Shelby,Leon,Mayor: Talahassee,1851-1852,,,,,,,,,,,,,,
Hayward,Richard,Leon,Mayor: Talahassee,1852-1853,,,,,,,,,,,,,,
Hayward,Thomas,Leon,Mayor: Talahassee,1853-1855,,,,,,,,,,,,,,
Epps,Francis Wayles,Leon,Mayor: Talahassee,1855-1857,,,,,,,,,,,,,,
Hogue,David P.,Leon,Mayor: Talahassee,1857-1860,,,,,,,,,,,,,,
Pearce,P. T.,Leon,Mayor: Talahassee,1860-1865,,,,,,,,,,,,,,
Epps,Francis Wayles,Leon,Mayor: Talahassee,1865-1866,,,,,,,,,,,,,,
Hogue,David P.,Leon,Mayor: Talahassee,1866-1868,,,,,,,,,,,,,,
Tatum,Thaddeus Preston,Leon,Mayor: Talahassee,1868-1870,,,,,,,,,,,,,,
Dyke,Charles Edgar,Leon,Mayor: Talahassee,1870-1871,,,,,,,,,,,,,,
Edwards,C. H.,Leon,Mayor: Talahassee,1871-1874,,,,,,,,,,,,,,
Walker,David Shelby,Leon,Mayor: Talahassee,1874-1875,,,,,,,,,,,,,,
Walker,Samuel,Leon,Mayor: Talahassee,1875-1876,,,,,,,,,,,,,,
Bernard,Jesse,Leon,Mayor: Talahassee,1876-1877,,,,,,,,,,,,,,
Walker,David Shelby,Leon,Mayor: Talahassee,1877-1879,,,,,,,,,,,,,,
Bernreuter,Henry,Leon,Mayor: Talahassee,1879-1880,,,,,,,,,,,,,,
Lewis,Edward,Leon,Mayor: Talahassee,1880-1881,,,,,,,,,,,,,,
Nash,John W.,Leon,Mayor: Talahassee,1881-1882,,,,,,,,,,,,,,
Lewis,Edward,Leon,Mayor: Talahassee,1882-1883,,,,,,,,,,,,,,
Pearce,Charles C.,Leon,Mayor: Talahassee,1883-1885,,,,,,,,,,,,,,
Walker,George W.,Leon,Mayor: Talahassee,1885-1886,,,,,,,,,,,,,,
Fish,"A. J,",Leon,Mayor: Talahassee,1886-1887,,,,,,,,,,,,,,
Gorman,R. B.,Leon,Mayor: Talahassee,1887-1889,,,,,,,,,,,,,,
Carpenter,Richard B.,Leon,Mayor: Talahassee,1889-1894,,,,,,,,,,,,,,
Bernard,Jesse,Leon,Mayor: Talahassee,1894-1896,,,,,,,,,,,,,,
Shine,R. A.,Leon,Mayor: Talahassee,1896-1897,,,,,,,,,,,,,,
Gorman,R. B.,Leon,Mayor: Talahassee,1897-1902,,,,,,,,,,,,,,
Moor,William L.,Leon,Mayor: Talahassee,1902-1904,,,,,,,,,,,,,,
Henderson,John Ward,Leon,Mayor: Talahassee,1904-1905,,,,,,,,,,,,,,
Gilmore,F. C.,Leon,Mayor: Talahassee,1905-1906,,,,,,,,,,,,,,
Mcintosh,W. M. Jr.,Leon,Mayor: Talahassee,1906-1907,,,,,,,,,,,,,,
Gilmore,F. C.,Leon,Mayor: Talahassee,1907-1908,,,,,,,,,,,,,,
Winthrop,Francis B.,Leon,Mayor: Talahassee,1908-1909,,,,,,,,,,,,,,
Lowry,D. M.,Leon,Mayor: Talahassee,1909-1917,,,,,,,,,,,,,,
Reilly,John B.,Miami-Dade,Mayor: Miami,1896-1900,,,,,,,,,,,,,,
Lummus,J. E.,Miami-Dade,Mayor: Miami,1900-1903,,,,,,,,,,,,,,
Sewell,John,Miami-Dade,Mayor: Miami,1903-1907,,,,,,,,,,,,,,
